City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
609,Upata,VE,85.6,overcast clouds,8.0086,-62.3989,Posada Villa Nela
612,Sambava,MG,80.4,light rain,-14.2667,50.1667,Melrose
619,Durazno,UY,83.34,broken clouds,-33.4131,-56.5006,Hotel Santa Cristina
629,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
631,Puerto Colombia,CO,87.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
633,Sumenep,ID,77.63,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
634,Belmonte,BR,84.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
640,Salvador,SV,86.05,clear sky,13.8333,-88.9167,Chico's Ranch
646,Beira,MZ,82.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
647,Ariquemes,BR,85.06,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
648,Aden,YE,77.94,few clouds,12.7794,45.0367,Sama Emirate Hotel
650,Port Shepstone,ZA,70.7,heavy intensity rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
651,Bubaque,GW,78.75,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
654,Malino,PH,77.86,broken clouds,15.1257,120.6727,Mula 1522 Private Resort
655,Wilmington,US,75.0,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
656,Nouadhibou,MR,78.78,few clouds,20.931,-17.0347,El Medina
662,Kavaratti,IN,79.03,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
663,Moerai,PF,78.06,light rain,-22.4333,-151.3333,Le Manotel
669,Tshikapa,CD,70.57,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
