City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tuatapere,NZ,-46.1333,167.6833,49.82,83,99,3.98,overcast clouds
79,Chitungwiza,ZW,-18.0127,31.0756,67.44,68,68,1.74,broken clouds
80,Vila Velha,BR,-20.3297,-40.2925,79.95,84,100,5.99,overcast clouds
81,Faya,SA,18.3851,42.4509,57.83,83,36,7.38,scattered clouds
82,Zhireken,RU,52.8249,117.3076,-13.61,97,72,2.82,broken clouds
83,Novo Aripuana,BR,-5.1206,-60.3797,83.14,81,86,4.7,overcast clouds
84,Znamenskoye,RU,57.1281,73.8282,21.29,87,100,8.63,overcast clouds
85,La Ronge,CA,55.1001,-105.2842,-11.34,88,97,5.59,overcast clouds
86,Guerrero Negro,MX,27.9769,-114.0611,59.04,27,0,1.9,clear sky
87,Northam,GB,51.0333,-4.2167,45.25,73,34,21.52,scattered clouds
88,Taikang,CN,46.8333,124.4167,-4.77,89,86,6.87,overcast clouds
89,Hithadhoo,MV,-0.6,73.0833,82.2,72,52,10.38,broken clouds
90,Kununurra,AU,-15.7667,128.7333,78.78,94,75,3.44,broken clouds
91,College,US,64.8569,-147.8028,2.28,67,75,0.0,broken clouds
92,Umtata,ZA,-31.5889,28.7844,61.5,98,100,2.75,light rain
93,Carnarvon,AU,-24.8667,113.6333,81.77,62,50,16.11,scattered clouds
94,Katsuura,JP,35.1333,140.3,43.2,61,3,25.3,clear sky
95,Bredasdorp,ZA,-34.5322,20.0403,65.28,57,20,13.38,few clouds
96,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,102.61,26,39,15.9,scattered clouds
97,Nizwa,OM,22.9333,57.5333,70.54,31,5,2.04,clear sky
98,Khatanga,RU,71.9667,102.5,-34.65,100,59,3.38,broken clouds
99,Paamiut,GL,61.994,-49.6678,9.03,69,100,18.84,overcast clouds
100,Diamantino,BR,-14.4086,-56.4461,88.63,55,97,5.68,heavy intensity rain
101,Chuy,UY,-33.6971,-53.4616,81.03,69,46,5.59,scattered clouds
102,Hasaki,JP,35.7333,140.8333,27.0,69,66,14.94,broken clouds
103,Saint-Augustin,CA,51.226,-58.6502,-0.06,72,100,9.78,overcast clouds
104,Esperance,AU,-33.8667,121.9,65.1,75,0,15.21,clear sky
105,Buala,SB,-8.145,159.5921,80.4,85,100,8.01,overcast clouds
106,Kulhudhuffushi,MV,6.6221,73.07,81.34,66,22,8.95,few clouds
107,Amahai,ID,-3.3333,128.9167,78.53,83,100,5.28,overcast clouds
108,Berlevag,NO,70.8578,29.0864,15.8,73,0,3.44,clear sky
109,Portland,US,45.5234,-122.6762,40.89,96,75,1.01,broken clouds
110,Thompson,CA,55.7435,-97.8558,-14.19,83,6,7.36,clear sky
111,Kiunga,PG,-6.1219,141.2906,71.83,100,100,2.35,overcast clouds
112,Leh,IN,34.1667,77.5833,-0.42,94,98,3.44,overcast clouds
113,Tabuk,PH,17.4189,121.4443,68.38,94,50,3.98,scattered clouds
114,Huarmey,PE,-10.0681,-78.1522,76.91,70,62,12.57,broken clouds
115,Faanui,PF,-16.4833,-151.75,79.83,76,19,13.76,few clouds
116,Raymond,US,43.9015,-70.4703,23.76,88,100,10.78,snow
117,San Jeronimo,PE,-11.9472,-75.2829,60.8,56,92,7.74,overcast clouds
118,Atuona,PF,-9.8,-139.0333,78.31,77,11,17.34,light rain
119,Bluff,NZ,-46.6,168.3333,49.8,64,57,8.03,broken clouds
120,Georgetown,MY,5.4112,100.3354,78.89,92,40,0.0,scattered clouds
121,Indianola,US,41.3581,-93.5574,23.56,59,82,15.86,broken clouds
122,Mar Del Plata,AR,-38.0023,-57.5575,73.42,90,20,8.01,few clouds
123,Safaga,EG,26.7292,33.9365,61.18,47,13,10.87,few clouds
124,Mehamn,NO,71.0357,27.8492,17.78,86,0,28.77,clear sky
125,Taoudenni,ML,22.6783,-3.9836,75.38,7,34,9.31,scattered clouds
126,Hobart,AU,-42.8794,147.3294,58.26,85,100,5.75,overcast clouds
127,Woodward,US,36.4337,-99.3904,26.96,54,0,13.8,clear sky
128,Caravelas,BR,-17.7125,-39.2481,77.31,88,100,6.8,light rain
129,Albany,US,42.6001,-73.9662,27.82,87,100,6.06,light snow
130,Rawson,AR,-43.3002,-65.1023,64.18,62,89,27.42,overcast clouds
131,Casablanca,MA,33.5928,-7.6192,66.42,67,97,5.99,overcast clouds
132,Pangai,TO,-19.8,-174.35,76.73,93,100,19.95,heavy intensity rain
133,Burnie,AU,-41.0667,145.9167,56.95,89,55,3.11,broken clouds
134,Klaksvik,FO,62.2266,-6.589,36.52,61,98,41.63,overcast clouds
135,Copiapo,CL,-27.3667,-70.3333,83.91,26,0,13.11,clear sky
136,Sioux Lookout,CA,50.1001,-91.917,0.54,82,91,3.96,overcast clouds
137,Westport,US,41.1415,-73.3579,41.76,95,100,3.0,light rain
138,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,71,98,10.49,overcast clouds
139,Paranaiba,BR,-19.6772,-51.1908,85.62,64,90,6.04,overcast clouds
140,Santa Maria,BR,-29.6842,-53.8069,81.36,72,94,4.61,overcast clouds
141,Neuquen,AR,-38.9516,-68.0591,76.91,36,54,17.98,broken clouds
142,Micheweni,TZ,-4.9667,39.8333,80.71,83,100,11.7,overcast clouds
143,Chaykovskaya,RU,58.1279,55.5378,22.89,96,100,8.57,snow
144,Cherskiy,RU,68.75,161.3,-34.78,99,12,3.42,few clouds
145,Kuvshinovo,RU,57.0295,34.1725,-0.51,100,94,1.21,overcast clouds
146,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,13.8,light rain
147,Jiwani,PK,25.05,61.7417,71.64,60,0,12.73,clear sky
148,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,25.32,snow
149,Padang,ID,-0.9492,100.3543,75.67,93,100,4.59,moderate rain
150,Cabedelo,BR,-6.9811,-34.8339,86.67,60,67,13.11,broken clouds
151,Qaanaaq,GL,77.484,-69.3632,-5.75,62,87,9.35,overcast clouds
152,Honiara,SB,-9.4333,159.95,78.3,89,100,3.74,overcast clouds
153,Iroquois Falls,CA,48.7669,-80.6831,-1.19,78,100,2.59,overcast clouds
154,Pacifica,US,37.6138,-122.4869,58.01,63,0,4.0,clear sky
155,Tucano,BR,-10.9631,-38.7867,96.42,27,61,8.88,broken clouds
156,Vao,NC,-22.6667,167.4833,80.08,87,92,17.11,light rain
157,Saint-Joseph,RE,-21.3667,55.6167,79.18,83,100,23.35,light rain
158,Bethel,US,41.3712,-73.414,39.51,90,100,3.0,overcast clouds
159,Melo,UY,-32.3667,-54.1833,88.09,45,51,6.85,broken clouds
160,Balotra,IN,25.8333,72.2333,63.12,29,0,7.67,clear sky
161,Kapaa,US,22.0752,-159.319,66.18,88,0,5.75,clear sky
162,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,69,20,3.0,few clouds
163,Fort Nelson,CA,58.8053,-122.7002,-8.84,97,100,4.18,light snow
164,Araouane,ML,18.9048,-3.5265,72.61,8,0,8.79,clear sky
165,Rorvik,NO,64.8621,11.2373,35.71,60,75,17.27,broken clouds
166,Rosario,AR,-32.9468,-60.6393,86.95,57,75,4.61,broken clouds
167,Kaitangata,NZ,-46.2817,169.8464,50.94,76,100,4.7,overcast clouds
168,Castro,BR,-24.7911,-50.0119,66.9,97,100,5.59,light rain
169,Dogbo,BJ,6.8167,1.7833,85.39,52,12,9.89,few clouds
170,Panzhihua,CN,26.5851,101.7128,47.97,64,2,0.81,clear sky
171,Aksu,CN,41.1231,80.2644,28.44,51,56,2.86,broken clouds
172,Oregon City,US,45.3573,-122.6068,43.84,95,100,1.01,mist
173,Ganzhou,CN,28.8184,115.4327,37.62,84,8,3.94,clear sky
174,Katangli,RU,51.7102,143.2326,5.63,93,100,17.83,light snow
175,Leningradskiy,RU,69.3833,178.4167,-18.11,92,39,8.59,scattered clouds
176,Muros,ES,42.7762,-9.0603,56.08,75,93,7.56,overcast clouds
177,Coahuayana,MX,18.7333,-103.6833,87.28,30,3,5.53,clear sky
178,Robore,BO,-18.3333,-59.75,91.49,58,40,13.8,scattered clouds
179,Along,IN,28.1667,94.7667,53.06,97,100,2.3,moderate rain
180,Naze,JP,28.3667,129.4833,52.88,57,99,14.72,overcast clouds
181,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,83,95,16.13,overcast clouds
182,Chokurdakh,RU,70.6333,147.9167,-30.8,100,70,1.74,broken clouds
183,Port Alfred,ZA,-33.5906,26.891,68.36,79,100,7.02,light rain
184,Belaya Gora,RU,68.5333,146.4167,-39.32,100,61,0.65,broken clouds
185,Cayenne,GF,4.9333,-52.3333,86.04,83,20,7.0,few clouds
186,Farah,AF,32.5,62.5,48.04,33,2,2.15,clear sky
187,Mount Gambier,AU,-37.8333,140.7667,55.13,87,29,7.7,scattered clouds
188,Mabaruma,GY,8.2,-59.7833,87.13,46,24,7.76,few clouds
189,Dongsheng,CN,39.8161,109.9776,9.12,67,0,6.91,clear sky
190,Kavieng,PG,-2.5744,150.7967,82.0,71,99,6.89,overcast clouds
191,Mahebourg,MU,-20.4081,57.7,80.26,94,75,13.8,broken clouds
192,Huesca,ES,42.1362,-0.4087,55.96,59,0,8.01,clear sky
193,Deputatskiy,RU,69.3,139.9,-29.78,100,84,2.39,broken clouds
194,Nantucket,US,41.2835,-70.0995,42.91,90,100,14.97,heavy intensity rain
195,Lavrentiya,RU,65.5833,-171.0,-0.29,55,0,18.07,clear sky
196,Zhigalovo,RU,54.8097,105.1578,5.99,98,100,3.2,overcast clouds
197,Hokitika,NZ,-42.7167,170.9667,60.08,89,100,6.51,light rain
198,Watsa,CD,3.0372,29.5355,76.93,34,99,1.57,overcast clouds
199,Antalaha,MG,-14.9003,50.2788,80.06,73,100,2.68,overcast clouds
200,Palmer,US,42.1584,-72.3287,35.85,90,100,10.36,mist
201,Ratnagiri,IN,16.9833,73.3,70.32,67,46,4.25,scattered clouds
202,Hervey Bay,AU,-25.2986,152.8535,69.04,65,99,26.98,overcast clouds
203,Alexandria,EG,31.2156,29.9553,57.0,59,34,21.52,scattered clouds
204,Airai,TL,-8.9266,125.4092,60.31,90,100,1.9,overcast clouds
205,Houma,US,29.5958,-90.7195,39.2,93,100,20.71,mist
206,Iqaluit,CA,63.7506,-68.5145,-19.84,73,100,10.11,overcast clouds
207,Atlantis,ZA,-33.5667,18.4834,70.2,64,0,9.86,clear sky
208,Omsukchan,RU,62.5333,155.8,-19.35,74,59,8.5,broken clouds
209,Touros,BR,-5.1989,-35.4608,86.9,57,52,16.06,broken clouds
210,Gospic,HR,44.5461,15.3747,44.29,94,98,4.72,overcast clouds
211,Moundsville,US,39.9203,-80.7431,29.17,94,100,5.68,light snow
212,Namatanai,PG,-3.6667,152.4333,79.88,79,97,6.53,overcast clouds
